TS	Time	Phase	Temps
2012-04-26 12:00:00.266	0.266	-77.505	310.48
2012-04-26 12:00:00.735	0.469	-79.62	310.48
2012-04-26 12:00:00.938	0.672	-78.326	310.48
2012-04-26 12:00:01.141	0.875	-77.802	310.48
2012-04-26 12:00:01.328	1.062	-78.215	310.48
2012-04-26 12:00:01.532	1.266	-78.692	310.48
2012-04-26 12:00:01.735	1.469	-79.012	310.48
2012-04-26 12:00:01.938	1.672	-78.05	310.48
2012-04-26 12:00:02.141	1.875	-77.641	310.48
2012-04-26 12:00:02.344	2.078	-78.3	310.48
2012-04-26 12:00:02.532	2.266	-79.109	310.48
2012-04-26 12:00:02.735	2.469	-78.321	310.48
2012-04-26 12:00:02.938	2.672	-77.728	310.48
2012-04-26 12:00:03.141	2.875	-79.527	310.48
2012-04-26 12:00:03.344	3.078	-78.257	310.48
2012-04-26 12:00:03.547	3.281	-77.434	310.48
2012-04-26 12:00:03.750	3.484	-78.13	310.48
2012-04-26 12:00:03.938	3.672	-77.445	310.47
2012-04-26 12:00:04.141	3.875	-78.99	310.47
2012-04-26 12:00:04.344	4.078	-77.795	310.48
2012-04-26 12:00:04.547	4.281	-78.306	310.48
2012-04-26 12:00:04.750	4.484	-78.788	310.48
2012-04-26 12:00:04.953	4.687	-78.606	310.48
2012-04-26 12:00:05.157	4.891	-77.724	310.47
2012-04-26 12:00:05.344	5.078	-77.596	310.47
2012-04-26 12:00:05.547	5.281	-77.816	310.47
2012-04-26 12:00:05.750	5.484	-79.374	310.48
2012-04-26 12:00:05.953	5.687	-79.066	310.48
2012-04-26 12:00:06.157	5.891	-78.339	310.48
2012-04-26 12:00:06.360	6.094	-78.246	310.48
2012-04-26 12:00:06.563	6.297	-78.516	310.47
2012-04-26 12:00:06.750	6.484	-78.594	310.47
2012-04-26 12:00:06.953	6.687	-78.184	310.48
2012-04-26 12:00:07.157	6.891	-77.443	310.48
2012-04-26 12:00:07.360	7.094	-78.756	310.48
2012-04-26 12:00:07.563	7.297	-78.784	310.48
2012-04-26 12:00:07.766	7.5	-77.729	310.48
2012-04-26 12:00:07.953	7.687	-78.096	310.48
2012-04-26 12:00:08.157	7.891	-78.857	310.48
2012-04-26 12:00:08.360	8.094	-78.782	310.48
2012-04-26 12:00:08.563	8.297	-77.261	310.49
2012-04-26 12:00:08.766	8.5	-78.071	310.49
2012-04-26 12:00:08.969	8.703	-77.426	310.49
2012-04-26 12:00:09.172	8.906	-78.694	310.49
2012-04-26 12:00:09.360	9.094	-77.947	310.49
2012-04-26 12:00:09.563	9.297	-77.923	310.49
2012-04-26 12:00:09.766	9.5	-77.607	310.49
2012-04-26 12:00:09.969	9.703	-78.7	310.48
2012-04-26 12:00:10.172	9.906	-78.732	310.48
2012-04-26 12:00:10.375	10.109	-77.99	310.48
2012-04-26 12:00:10.578	10.312	-77.409	310.48
2012-04-26 12:00:10.766	10.5	-78.441	310.48
2012-04-26 12:00:10.969	10.703	-78.055	310.48
2012-04-26 12:00:11.172	10.906	-78.261	310.48
2012-04-26 12:00:11.375	11.109	-77.55	310.48
2012-04-26 12:00:11.578	11.312	-78.325	310.47
2012-04-26 12:00:11.782	11.516	-77.927	310.47
2012-04-26 12:00:11.985	11.719	-77.782	310.47
2012-04-26 12:00:12.172	11.906	-77.413	310.47
2012-04-26 12:00:12.375	12.109	-78.633	310.47
2012-04-26 12:00:12.578	12.312	-78.561	310.47
2012-04-26 12:00:12.782	12.516	-78.043	310.47
2012-04-26 12:00:12.985	12.719	-77.14	310.47
2012-04-26 12:00:13.188	12.922	-78.11	310.47
2012-04-26 12:00:13.391	13.125	-78.278	310.48
2012-04-26 12:00:13.578	13.312	-77.488	310.48
2012-04-26 12:00:13.782	13.516	-77.82	310.47
2012-04-26 12:00:13.985	13.719	-77.812	310.47
2012-04-26 12:00:14.188	13.922	-78.652	310.47
2012-04-26 12:00:14.391	14.125	-78.28	310.47
2012-04-26 12:00:14.594	14.328	-77.45	310.47
2012-04-26 12:00:14.782	14.516	-79.354	310.47
2012-04-26 12:00:14.985	14.719	-79.092	310.47
2012-04-26 12:00:15.188	14.922	-78.138	310.47
2012-04-26 12:00:15.391	15.125	-77.953	310.46
2012-04-26 12:00:15.594	15.328	-78.141	310.46
2012-04-26 12:00:15.797	15.531	-79.038	310.46
2012-04-26 12:00:16.000	15.734	-78.312	310.47
