TS	Tilt	Phase	Amplitude	PLL_Locked	TempSensor1	TempSensor2
2020-02-05 15:36:04.904	0.00	43.4857	-21.9753	1	292.480011	292.709991
2020-02-05 15:36:05.846	0.00	43.5418	-21.9794	1	292.470001	292.720001
2020-02-05 15:36:06.778	0.00	43.6835	-21.9800	1	292.459991	292.709991
2020-02-05 15:36:07.708	0.00	43.7456	-21.9800	1	292.450012	292.730011
2020-02-05 15:36:08.624	0.00	43.7670	-21.9806	1	292.480011	292.720001
2020-02-05 15:36:09.555	0.00	43.8374	-21.9834	1	292.470001	292.720001
2020-02-05 15:36:10.524	0.00	43.7864	-21.9831	1	292.470001	292.700012
2020-02-05 15:36:11.456	0.00	43.8665	-21.9830	1	292.470001	292.709991
2020-02-05 15:36:12.370	0.00	43.8381	-21.9804	1	292.470001	292.700012
2020-02-05 15:36:13.335	0.00	43.8873	-21.9828	1	292.459991	292.730011
2020-02-05 15:36:14.279	0.00	43.7855	-21.9808	1	292.470001	292.709991
2020-02-05 15:36:15.195	0.00	43.7080	-21.9801	1	292.459991	292.709991
2020-02-05 15:36:16.140	0.00	43.7175	-21.9849	1	292.450012	292.709991
2020-02-05 15:36:17.091	0.00	43.6137	-21.9837	1	292.450012	292.720001
2020-02-05 15:36:18.022	0.00	43.6124	-21.9832	1	292.459991	292.709991
2020-02-05 15:36:18.954	0.00	43.5546	-21.9830	1	292.470001	292.700012
2020-02-05 15:36:19.880	0.00	43.6131	-21.9804	1	292.470001	292.709991
2020-02-05 15:36:20.839	0.00	43.5818	-21.9797	1	292.450012	292.709991
2020-02-05 15:36:21.767	0.00	43.4844	-21.9805	1	292.470001	292.709991
2020-02-05 15:36:22.739	0.00	43.4942	-21.9762	1	292.459991	292.720001
2020-02-05 15:36:23.690	0.00	43.4835	-21.9643	1	292.470001	292.709991
2020-02-05 15:36:24.577	0.00	43.5225	-21.9696	1	292.440002	292.720001
2020-02-05 15:36:25.536	0.00	43.5338	-21.9776	1	292.450012	292.709991
2020-02-05 15:36:26.497	0.00	43.5196	-21.9778	1	292.459991	292.709991
2020-02-05 15:36:27.418	0.00	43.6209	-21.9788	1	292.450012	292.709991
2020-02-05 15:36:28.390	0.00	43.6056	-21.9780	1	292.440002	292.709991
2020-02-05 15:36:29.316	0.00	43.6245	-21.9802	1	292.450012	292.709991
2020-02-05 15:36:30.244	0.00	43.5465	-21.9775	1	292.450012	292.709991
2020-02-05 15:36:31.157	0.00	43.5930	-21.9771	1	292.440002	292.709991
2020-02-05 15:36:32.101	0.00	43.5844	-21.9745	1	292.459991	292.709991
2020-02-05 15:36:33.044	0.00	43.6634	-21.9732	1	292.450012	292.709991
2020-02-05 15:36:33.974	0.00	43.5959	-21.9751	1	292.450012	292.700012
2020-02-05 15:36:34.861	0.00	43.5666	-21.9772	1	292.440002	292.709991
2020-02-05 15:36:35.847	0.00	43.5797	-21.9742	1	292.450012	292.700012
2020-02-05 15:36:36.820	0.00	43.5850	-21.9763	1	292.450012	292.700012
2020-02-05 15:36:37.727	0.00	43.6255	-21.9721	1	292.450012	292.700012
2020-02-05 15:36:38.678	0.00	43.6177	-21.9661	1	292.450012	292.709991
2020-02-05 15:36:39.617	0.00	43.6180	-21.9721	1	292.440002	292.700012
2020-02-05 15:36:40.560	0.00	43.6140	-21.9778	1	292.440002	292.690002
2020-02-05 15:36:41.464	0.00	43.5890	-21.9774	1	292.440002	292.700012
2020-02-05 15:36:42.421	0.00	43.5688	-21.9765	1	292.440002	292.709991
2020-02-05 15:36:43.351	0.00	43.5351	-21.9757	1	292.440002	292.700012
2020-02-05 15:36:44.311	0.00	43.5933	-21.9740	1	292.429993	292.709991
2020-02-05 15:36:45.233	0.00	43.4791	-21.9746	1	292.440002	292.709991
2020-02-05 15:36:46.158	0.00	43.5190	-21.9752	1	292.440002	292.700012
2020-02-05 15:36:47.112	0.00	43.6030	-21.9777	1	292.440002	292.700012
2020-02-05 15:36:48.058	0.00	43.5903	-21.9738	1	292.429993	292.709991
2020-02-05 15:36:49.004	0.00	43.6685	-21.9797	1	292.420013	292.709991
2020-02-05 15:36:49.927	0.00	43.7099	-21.9783	1	292.440002	292.709991
2020-02-05 15:36:50.871	0.00	43.8615	-21.9797	1	292.429993	292.709991
2020-02-05 15:36:51.855	0.00	43.9027	-21.9777	1	292.429993	292.700012
2020-02-05 15:36:52.750	0.00	43.9245	-21.9781	1	292.429993	292.709991
2020-02-05 15:36:53.705	0.00	43.9896	-21.9781	1	292.420013	292.709991
2020-02-05 15:36:54.652	0.00	43.9399	-21.9789	1	292.420013	292.690002
2020-02-05 15:36:55.592	0.00	43.9897	-21.9740	1	292.420013	292.709991
2020-02-05 15:36:56.530	0.00	43.9760	-21.9784	1	292.429993	292.700012
2020-02-05 15:36:57.471	0.00	44.0405	-21.9770	1	292.420013	292.709991
2020-02-05 15:36:58.387	0.00	44.0594	-21.9725	1	292.420013	292.700012
2020-02-05 15:36:59.328	0.00	43.9556	-21.9754	1	292.420013	292.700012
2020-02-05 15:37:00.291	0.00	44.0426	-21.9781	1	292.440002	292.690002
2020-02-05 15:37:01.258	0.00	44.0021	-21.9807	1	292.410004	292.709991
2020-02-05 15:37:02.167	0.00	44.0092	-21.9805	1	292.420013	292.700012
2020-02-05 15:37:03.099	0.00	44.0407	-21.9767	1	292.420013	292.700012
2020-02-05 15:37:04.041	0.00	44.0092	-21.9762	1	292.420013	292.690002
2020-02-05 15:37:04.966	0.00	44.0710	-21.9785	1	292.410004	292.700012
2020-02-05 15:37:05.984	0.00	43.9171	-21.9779	1	292.420013	292.690002
2020-02-05 15:37:06.867	0.00	43.8607	-21.9811	1	292.420013	292.679993
2020-02-05 15:37:07.800	0.00	43.7696	-21.9776	1	292.420013	292.690002
2020-02-05 15:37:08.757	0.00	43.6789	-21.9772	1	292.410004	292.690002
2020-02-05 15:37:09.690	0.00	43.6583	-21.9712	1	292.429993	292.700012
2020-02-05 15:37:10.638	0.00	43.5410	-21.9811	1	292.410004	292.700012
2020-02-05 15:37:11.563	0.00	43.6455	-21.9766	1	292.420013	292.700012
2020-02-05 15:37:12.508	0.00	43.5945	-21.9787	1	292.410004	292.679993
2020-02-05 15:37:13.474	0.00	43.5801	-21.9805	1	292.410004	292.690002
2020-02-05 15:37:14.400	0.00	43.6634	-21.9758	1	292.410004	292.690002
